

210 0.693381 0.945617
211 0.691442 1.22251
212 0.691803 1.17095
213 0.694063 0.848163
214 0.7 0
215 0.693634 0.909448
216 0.691734 1.1809
217 0.692298 1.10026
218 0.694821 0.739848
219 0.7 0
220 0.697909 0.298766
221 0.69779 0.315644
222 0.698247 0.250411
223 0.698946 0.150562
224 0.7 0
225 0.699681 0.0456322
226 0.699672 0.0469054
227 0.699744 0.0365108
228 0.699848 0.021684
229 0.7 0
230 0.699955 0.0063798
231 0.699954 0.00654408
232 0.699964 0.00508905
233 0.699979 0.00302276
234 0.7 0
235 0.699994 0.000912055
236 0.699993 0.000952422
237 0.699995 0.000762065
238 0.699997 0.000472554
239 0.7 0
240 0.698613 0.198087
241 0.697369 0.375806
242 0.696735 0.466463
243 0.696939 0.437269
244 0.697606 0.341982
245 0.69563 0.62423
246 0.694325 0.810773
247 0.694166 0.833419
248 0.695151 0.692727
249 0.696755 0.463586
250 0.695186 0.687679
251 0.694314 0.812314
252 0.69451 0.784292
253 0.695639 0.623067
254 0.697054 0.420797
255 0.695459 0.648682
256 0.694591 0.772723
257 0.694909 0.727268
258 0.696263 0.533834
259 0.698127 0.26758
260 0.698193 0.258109
261 0.698322 0.239678
262 0.698648 0.193153
263 0.699096 0.129124
264 0.699562 0.0625455
265 0.699649 0.0501915
266 0.699707 0.04188
267 0.699776 0.0319797
268 0.699853 0.020934
269 0.699928 0.0103303
270 0.699945 0.00792829
271 0.699955 0.00639294
272 0.699966 0.00479647
273 0.699978 0.00312925
274 0.699989 0.00157687
275 0.699992 0.00120763
276 0.699993 0.00097993
277 0.699995 0.000754516
278 0.699996 0.00052445
279 0.699998 0.00031653
280 0.69847 0.218609
281 0.698023 0.282444
282 0.69769 0.329995
283 0.697635 0.337905
284 0.697542 0.351096
285 0.696709 0.47016
286 0.69604 0.565755
287 0.695891 0.586966
288 0.696244 0.536589
289 0.696679 0.47442
290 0.696291 0.529913
291 0.696005 0.570745
292 0.696139 0.551515
293 0.696617 0.483238
294 0.69699 0.43003
295 0.696553 0.492432
296 0.696256 0.534848
297 0.696479 0.503008
298 0.697192 0.401191
299 0.698049 0.278657
300 0.698413 0.226678
301 0.698656 0.192056
302 0.698925 0.153598
303 0.699227 0.110369
304 0.699503 0.0709316
305 0.699645 0.0507603
306 0.699731 0.0384866
307 0.6998 0.0286271
308 0.699862 0.0197636
309 0.699913 0.0124698
310 0.69994 0.00861831
311 0.699956 0.00630955
312 0.699968 0.00457961
313 0.699978 0.00312416
314 0.699986 0.00197224
315 0.69999 0.00136291
316 0.699993 0.00100617
317 0.699995 0.000752403
318 0.699996 0.000554742
319 0.699997 0.000425387
320 0.698772 0.175467
321 0.69856 0.205658
322 0.698365 0.23351
323 0.698274 0.246622
324 0.698086 0.273402
325 0.69762 0.340045
326 0.69723 0.395706
327 0.697111 0.412712
328 0.69725 0.3928
329 0.697423 0.368082
330 0.697288 0.387358
331 0.69719 0.401398
332 0.697284 0.387997
333 0.697512 0.355478
334 0.697666 0.333398
335 0.697503 0.356677
336 0.697398 0.371785
337 0.697555 0.349247
338 0.697972 0.289683
339 0.698464 0.219468
340 0.698753 0.178125
341 0.698961 0.148468
342 0.699167 0.118975
343 0.699384 0.0879375
344 0.699579 0.0601248
345 0.699696 0.043484
346 0.699771 0.0327192
347 0.69983 0.0243082
348 0.699881 0.0170442
349 0.699922 0.0111798
350 0.699946 0.00777455
351 0.69996 0.00565387
352 0.699971 0.00409303
353 0.69998 0.00281876
354 0.699987 0.00182706
355 0.699991 0.00126702
356 0.699993 0.000930471
357 0.699995 0.000694966
358 0.699996 0.000517305
359 0.699997 0.000405219
360 0.699284 0.10227
361 0.69908 0.131424
362 0.698936 0.152009
363 0.698907 0.15614
364 0.698864 0.162314
365 0.698451 0.221263
366 0.698147 0.264725
367 0.698069 0.275802
368 0.69822 0.254226
369 0.698473 0.21813
370 0.698247 0.25044
371 0.698121 0.268487
372 0.698167 0.261922
373 0.698374 0.232278
374 0.698617 0.19753
375 0.698394 0.229464
376 0.698273 0.246755
377 0.69837 0.232871
378 0.698676 0.189127
379 0.699079 0.131632
380 0.699173 0.118072
381 0.699266 0.10487
382 0.699398 0.0860191
383 0.699563 0.0623724
384 0.699733 0.0382086
385 0.699787 0.0303768
386 0.699828 0.0246317
387 0.699868 0.0188675
388 0.699909 0.0129427
389 0.699948 0.00744228
390 0.69996 0.0056543
391 0.699969 0.0044442
392 0.699977 0.00332411
393 0.699984 0.00223373
394 0.699991 0.00125211
395 0.699993 0.000948959
396 0.699995 0.000754692
397 0.699996 0.000580408
398 0.699997 0.00041483
399 0.699998 0.000273279
400 0.7 0
401 0.699539 0.0658936
402 0.69939 0.087119
403 0.699481 0.0741762
404 0.7 0
405 0.699173 0.118199
406 0.698835 0.166404
407 0.698797 0.171831
408 0.699087 0.130434
409 0.7 0
410 0.699104 0.128046
411 0.698828 0.167464
412 0.698844 0.165128
413 0.699147 0.121824
414 0.7 0
415 0.69918 0.11713
416 0.698928 0.153156
417 0.698974 0.146599
418 0.699282 0.102516
419 0.7 0
420 0.699596 0.0577831
421 0.699531 0.0670293
422 0.699594 0.0579484
423 0.699738 0.0373889
424 0.7 0
425 0.699893 0.0152145
426 0.699884 0.016589
427 0.699905 0.0136068
428 0.699941 0.00843044
429 0.7 0
430 0.699979 0.00296202
431 0.699978 0.00314913
432 0.699982 0.00252894
433 0.699989 0.00154224
434 0.7 0
435 0.699996 0.000522994
436 0.699996 0.000559713
437 0.699997 0.000457744
438 0.699998 0.000288759
439 0.7 0
440 0.699833 0.0238474
441 0.699684 0.0451003
442 0.699605 0.056488
443 0.699613 0.0553024
444 0.699669 0.0472715
445 0.699403 0.0852506
446 0.699223 0.111033
447 0.699196 0.114862
448 0.699329 0.0958152
449 0.699552 0.0639378
450 0.699339 0.0944139
451 0.699213 0.112413
452 0.69922 0.111495
453 0.69937 0.0900157
454 0.699592 0.0582787
455 0.699398 0.0860205
456 0.699284 0.102301
457 0.699314 0.0980029
458 0.699479 0.0744462
459 0.699715 0.0406764
460 0.699677 0.0460911
461 0.699667 0.0475854
462 0.69971 0.0414164
463 0.699795 0.0292736
464 0.699896 0.0147971
465 0.699903 0.0139079
466 0.69991 0.0129203
467 0.699926 0.0105544
468 0.69995 0.00718096
469 0.699975 0.00356765
470 0.699979 0.00304773
471 0.699981 0.00266462
472 0.699985 0.00210291
473 0.69999 0.0014079
474 0.699995 0.000705321
475 0.699996 0.000583847
476 0.699996 0.000504001
477 0.699997 0.000402571
478 0.699998 0.000282762
479 0.699999 0.000164523
480 0.699815 0.0264605
481 0.69976 0.0343104
482 0.699711 0.0412563
483 0.699687 0.0446607
484 0.69966 0.048582
485 0.699548 0.0645878
486 0.699456 0.0777298
487 0.699434 0.0808888
488 0.699481 0.0741261
489 0.699541 0.0655883
490 0.699487 0.0733567
491 0.699443 0.0796027
492 0.699445 0.0792196
493 0.699511 0.0698354
494 0.699579 0.0601577
495 0.699533 0.0666658
496 0.699495 0.0721288
497 0.699519 0.0687676
498 0.699603 0.0566663
499 0.699705 0.0422106
500 0.699731 0.0383672
501 0.699749 0.0358541
502 0.699784 0.0309013
503 0.699835 0.0235223
504 0.699888 0.0160224
505 0.699911 0.012714
506 0.699925 0.0106434
507 0.69994 0.00852037
508 0.699957 0.00617882
509 0.699972 0.00404562
510 0.699979 0.00299979
511 0.699983 0.00236149
512 0.699987 0.00181235
513 0.699991 0.00128258
514 0.699994 0.000830269
515 0.699996 0.000603678
516 0.699997 0.000470396
517 0.699997 0.000366195
518 0.699998 0.000275486
519 0.699999 0.000210936
520 0.699848 0.0216608
521 0.69982 0.0257212
522 0.699789 0.0301349
523 0.699765 0.0335483
524 0.699735 0.0378583
525 0.699672 0.046856
526 0.699619 0.0544902
527 0.699602 0.0569211
528 0.69962 0.0542889
529 0.699643 0.0510006
530 0.699623 0.0538979
531 0.699605 0.0563655
532 0.699607 0.0562062
533 0.69964 0.0513815
534 0.699671 0.0470577
535 0.699658 0.0489162
536 0.699644 0.050856
537 0.699662 0.0483436
538 0.699711 0.0412997
539 0.699768 0.0331764
540 0.699795 0.0293526
541 0.699814 0.0265998
542 0.69984 0.0228443
543 0.699875 0.0179161
544 0.699908 0.0130729
545 0.699928 0.0102955
546 0.699941 0.0084298
547 0.699953 0.00671376
548 0.699965 0.00497473
549 0.699976 0.00344041
550 0.699982 0.00254742
551 0.699986 0.00197163
552 0.699989 0.00150432
553 0.699992 0.00108113
554 0.699995 0.000730357
555 0.699996 0.000530827
556 0.699997 0.000408196
557 0.699998 0.000316708
558 0.699998 0.000242337
559 0.699999 0.000192964
560 0.69991 0.0128187
561 0.699882 0.0168054
562 0.69986 0.0200449
563 0.699849 0.0215741
564 0.699843 0.0224863
565 0.699786 0.0305361
566 0.699744 0.0365106
567 0.699733 0.0380754
568 0.699754 0.0351641
569 0.699788 0.0302801
570 0.699755 0.0349873
571 0.699734 0.0380185
572 0.699735 0.0379167
573 0.699765 0.0335759
574 0.699803 0.0280833
575 0.699778 0.0317832
576 0.699761 0.0340883
577 0.699772 0.0325013
578 0.699811 0.0270551
579 0.699861 0.0198771
580 0.699865 0.0192975
581 0.699871 0.0183757
582 0.699888 0.0159837
583 0.699914 0.0122437
584 0.699944 0.00807109
585 0.699951 0.00697616
586 0.699957 0.00607525
587 0.699965 0.0049371
588 0.699975 0.00357109
589 0.699985 0.00219743
590 0.699988 0.00178051
591 0.69999 0.00147533
592 0.699992 0.00115374
593 0.699994 0.00080837
594 0.699997 0.000479964
595 0.699997 0.000381626
596 0.699998 0.000315277
597 0.699998 0.000250433
598 0.699999 0.00018444
599 0.699999 0.000125769
600 0.7 0
601 0.699939 0.00865409
602 0.699918 0.0116862
603 0.699928 0.0102391
604 0.7 0
605 0.699886 0.0163233
606 0.699839 0.0229785
607 0.699834 0.0237454
608 0.699874 0.0180484
609 0.7 0
610 0.699874 0.0179887
611 0.699832 0.0239534
612 0.699833 0.0239057
613 0.699877 0.0176276
614 0.7 0
615 0.699886 0.0162994
616 0.699851 0.0213113
617 0.699856 0.0205518
618 0.699898 0.0145705
619 0.7 0
620 0.699933 0.00960457
621 0.699919 0.0116409
622 0.699927 0.0104877
623 0.699951 0.0070164
624 0.7 0
625 0.699976 0.00346998
626 0.699972 0.00396426
627 0.699976 0.00339343
628 0.699985 0.0021788
629 0.7 0
630 0.699994 0.000903701
631 0.699993 0.000996965
632 0.699994 0.00082814
633 0.699996 0.000519485
634 0.7 0
635 0.699999 0.000200832
636 0.699998 0.000221181
637 0.699999 0.000185566
638 0.699999 0.000119413
639 0.7 0
640 0.699977 0.00327598
641 0.699957 0.00613379
642 0.699945 0.0078187
643 0.699946 0.00770694
644 0.699954 0.00656023
645 0.699917 0.0117954
646 0.699892 0.0153585
647 0.699889 0.015904
648 0.699907 0.0133028
649 0.699937 0.00894972
650 0.699907 0.0133084
651 0.699887 0.0161794
652 0.699887 0.0161497
653 0.699908 0.0130731
654 0.69994 0.00851446
655 0.699915 0.0121909
656 0.699899 0.0143716
657 0.699903 0.0138455
658 0.699925 0.01069
659 0.699957 0.00613555
660 0.699948 0.0074898
661 0.699943 0.00810783
662 0.699949 0.00732068
663 0.699963 0.00534149
664 0.69998 0.00282082
665 0.699979 0.00294309
666 0.69998 0.00292247
667 0.699983 0.00249709
668 0.699988 0.00175295
669 0.699994 0.000892841
670 0.699994 0.000838268
671 0.699995 0.000781723
672 0.699995 0.000643228
673 0.699997 0.000441968
674 0.699998 0.000224154
675 0.699999 0.000200728
676 0.699999 0.000183277
677 0.699999 0.000151431
678 0.699999 0.000107771
679 0.7 6.12182e-05
680 0.699974 0.0036967
681 0.699966 0.00479275
682 0.69996 0.00575598
683 0.699956 0.00621768
684 0.699953 0.00674543
685 0.699937 0.00895163
686 0.699925 0.0107723
687 0.699921 0.0112257
688 0.699928 0.0103228
689 0.699936 0.00919696
690 0.699927 0.0103618
691 0.699919 0.011505
692 0.69992 0.0114835
693 0.699928 0.0102197
694 0.699938 0.00880272
695 0.699933 0.00959063
696 0.699928 0.0102695
697 0.699931 0.00980542
698 0.699942 0.00821968
699 0.699955 0.00636874
700 0.699957 0.00611901
701 0.699958 0.00598832
702 0.699963 0.00535329
703 0.699971 0.00421361
704 0.699979 0.00300162
705 0.699982 0.00256213
706 0.699984 0.00228849
707 0.699987 0.00192209
708 0.69999 0.00144489
709 0.699993 0.00098107
710 0.699995 0.000775675
711 0.699995 0.000649244
712 0.699996 0.000521748
713 0.699997 0.000381462
714 0.699998 0.000254153
715 0.699999 0.000194858
716 0.699999 0.00015996
717 0.699999 0.000129265
718 0.699999 9.9132e-05
719 0.699999 7.59316e-05
720 0.699979 0.00302425
721 0.699975 0.00358949
722 0.699971 0.00420076
723 0.699967 0.00466881
724 0.699963 0.00525918
725 0.699954 0.00650273
726 0.699947 0.00756447
727 0.699945 0.00791517
728 0.699947 0.00757662
729 0.69995 0.00716299
730 0.699947 0.00762727
731 0.699943 0.00816855
732 0.699943 0.00817018
733 0.699947 0.00755637
734 0.699952 0.0068952
735 0.69995 0.00710944
736 0.699949 0.00732085
737 0.699951 0.00696637
738 0.699958 0.00602917
739 0.699965 0.00500731
740 0.699968 0.00463552
741 0.699969 0.00437936
742 0.699973 0.00389609
743 0.699978 0.0031624
744 0.699983 0.00241305
745 0.699986 0.00201797
746 0.699988 0.00174964
747 0.69999 0.00145988
748 0.699992 0.00112494
749 0.699994 0.000811894
750 0.699996 0.000634922
751 0.699996 0.000518501
752 0.699997 0.0004136
753 0.699998 0.000308373
754 0.699998 0.000216403
755 0.699999 0.000164791
756 0.699999 0.000132607
757 0.699999 0.000106671
758 0.699999 8.36637e-05
759 0.7 6.75038e-05
760 0.699987 0.00178892
761 0.699984 0.0023439
762 0.69998 0.00279314
763 0.699979 0.00300245
764 0.699978 0.00312519
765 0.69997 0.00424238
766 0.699964 0.00507555
767 0.699963 0.00530212
768 0.699966 0.00491337
769 0.69997 0.00425853
770 0.699965 0.00496219
771 0.699961 0.00551391
772 0.699961 0.00552994
773 0.699965 0.00494823
774 0.699971 0.00411941
775 0.699968 0.00463847
776 0.699965 0.00494572
777 0.699967 0.00471884
778 0.699972 0.00396819
779 0.699979 0.003001
780 0.699979 0.00304122
781 0.699979 0.00300203
782 0.699981 0.00269337
783 0.699985 0.00213013
784 0.69999 0.00147271
785 0.699991 0.00134916
786 0.699991 0.00123404
787 0.699993 0.00104435
788 0.699995 0.000784286
789 0.699996 0.000507483
790 0.699997 0.000434276
791 0.699997 0.000376777
792 0.699998 0.000306207
793 0.699998 0.000222349
794 0.699999 0.000138519
795 0.699999 0.000115466
796 0.699999 9.91448e-05
797 0.699999 8.12569e-05
798 0.7 6.14354e-05
799 0.7 4.29686e-05
800 0.7 0
801 0.699992 0.0012065
802 0.699989 0.00162833
803 0.69999 0.00142579
804 0.7 0
805 0.699984 0.00227046
806 0.699978 0.00319848
807 0.699977 0.00330991
808 0.699982 0.00252129
809 0.7 0
810 0.699982 0.00257401
811 0.699976 0.00348504
812 0.699976 0.00349317
813 0.699982 0.00259233
814 0.7 0
815 0.699983 0.00238413
816 0.699978 0.00310983
817 0.699979 0.00299998
818 0.699985 0.00213735
819 0.7 0
820 0.699989 0.00152949
821 0.699987 0.0018973
822 0.699988 0.00174801
823 0.699992 0.00119427
824 0.7 0
825 0.699995 0.000673338
826 0.699994 0.000794285
827 0.699995 0.000700265
828 0.699997 0.000461185
829 0.7 0
830 0.699998 0.000218373
831 0.699998 0.000248516
832 0.699999 0.000212419
833 0.699999 0.000136527
834 0.7 0
835 0.7 5.95309e-05
836 0.7 6.73516e-05
837 0.7 5.78612e-05
838 0.7 3.79159e-05
839 0.7 0
840 0.699997 0.000456665
841 0.699994 0.000855002
842 0.699992 0.0010896
843 0.699992 0.00107384
844 0.699994 0.000914241
845 0.699988 0.00164331
846 0.699985 0.00214133
847 0.699984 0.00222118
848 0.699987 0.00186448
849 0.699991 0.00126628
850 0.699987 0.00191282
851 0.699983 0.00236267
852 0.699983 0.00236899
853 0.699986 0.00193062
854 0.699991 0.00125455
855 0.699987 0.00179069
856 0.699985 0.00211272
857 0.699986 0.00203701
858 0.699989 0.00158344
859 0.699993 0.000932746
860 0.699992 0.00118102
861 0.699991 0.00131161
862 0.699992 0.00120894
863 0.699994 0.000900163
864 0.699997 0.000492544
865 0.699996 0.000550602
866 0.699996 0.000570321
867 0.699996 0.00050197
868 0.699997 0.000360666
869 0.699999 0.000188841
870 0.699999 0.000190925
871 0.699999 0.00018675
872 0.699999 0.000158649
873 0.699999 0.00011148
874 0.7 5.76627e-05
875 0.7 5.53674e-05
876 0.7 5.29392e-05
877 0.7 4.49805e-05
878 0.7 3.24064e-05
879 0.7 1.81176e-05
880 0.699996 0.000515347
881 0.699995 0.000668128
882 0.699994 0.000802376
883 0.699994 0.000866827
884 0.699993 0.000940761
885 0.699991 0.00124893
886 0.699989 0.00150456
887 0.699989 0.00157131
888 0.69999 0.00145111
889 0.699991 0.00130296
890 0.69999 0.00149119
891 0.699988 0.00168628
892 0.699988 0.00169196
893 0.699989 0.00150862
894 0.699991 0.00129819
895 0.69999 0.00141323
896 0.699989 0.00151553
897 0.69999 0.00145402
898 0.699991 0.00122828
899 0.699993 0.000970423
900 0.699993 0.000957037
901 0.699993 0.000960555
902 0.699994 0.000877208
903 0.699995 0.000705838
904 0.699996 0.00051992
905 0.699997 0.000466776
906 0.699997 0.00043502
907 0.699997 0.000377147
908 0.699998 0.000291043
909 0.699999 0.000203969
910 0.699999 0.000169934
911 0.699999 0.000149106
912 0.699999 0.00012411
913 0.699999 9.31977e-05
914 0.7 6.38632e-05
915 0.7 5.13944e-05
916 0.7 4.41121e-05
917 0.7 3.6762e-05
918 0.7 2.8645e-05
